Headline,Industry,College-Name-1,Degree-Name-1,Field-Of-Study-1,Activities-and-Societies-1,Activities-and-Societies--1,Job-Title-1,Company-Name-1,Dates-Employed-1,Employment-Duration-1,Location-1,College-Name-2,Degree-Name-2,Field-Of-Study-2,Activities-and-Societies-2,Activities-and-Societies--2,Job-Title-2,Company-Name-2,Dates-Employed-2,Employment-Duration-2,Location-2,College-Name-3,Degree-Name-3,Field-Of-Study-3,Activities-and-Societies-3,Activities-and-Societies--3,Job-Title-3,Company-Name-3,Dates-Employed-3,Employment-Duration-3,Location-3,College-Name-4,Degree-Name-4,Field-Of-Study-4,Activities-and-Societies-4,Activities-and-Societies--4,Job-Title-4,Company-Name-4,Dates-Employed-4,Employment-Duration-4,Location-4,College-Name-5,Degree-Name-5,Field-Of-Study-5,Activities-and-Societies-5,Activities-and-Societies--5,Job-Title-5,Company-Name-5,Dates-Employed-5,Employment-Duration-5,Location-5,College-Name-6,Degree-Name-6,Field-Of-Study-6,Activities-and-Societies-6,Activities-and-Societies--6,Job-Title-6,Company-Name-6,Dates-Employed-6,Employment-Duration-6,Location-6,College-Name-7,Degree-Name-7,Field-Of-Study-7,Activities-and-Societies-7,Activities-and-Societies--7,Job-Title-7,Company-Name-7,Dates-Employed-7,Employment-Duration-7,Location-7,College-Name-8,Degree-Name-8,Field-Of-Study-8,Activities-and-Societies-8,Activities-and-Societies--8,Job-Title-8,Company-Name-8,Dates-Employed-8,Employment-Duration-8,Location-8,College-Name-9,Degree-Name-9,Field-Of-Study-9,Activities-and-Societies-9,Activities-and-Societies--9,Job-Title-9,Company-Name-9,Dates-Employed-9,Employment-Duration-9,Location-9,College-Name-10,Degree-Name-10,Field-Of-Study-10,Activities-and-Societies-10,Activities-and-Societies--10,Job-Title-10,Company-Name-10,Dates-Employed-10,Employment-Duration-10,Location-10,College-Name-11,Degree-Name-11,Field-Of-Study-11,Activities-and-Societies-11,Activities-and-Societies--11,Job-Title-11,Company-Name-11,Dates-Employed-11,Employment-Duration-11,Location-11,College-Name-12,Degree-Name-12,Field-Of-Study-12,Activities-and-Societies-12,Activities-and-Societies--12,Job-Title-12,Company-Name-12,Dates-Employed-12,Employment-Duration-12,Location-12,College-Name-13,Degree-Name-13,Field-Of-Study-13,Activities-and-Societies-13,Activities-and-Societies--13,Job-Title-13,Company-Name-13,Dates-Employed-13,Employment-Duration-13,Location-13,skills
Strategic product manager and product owner that focuses on user experience,Product Manager,California State University-Dominguez Hills,Professional Certificate,Project Management,,,Product Owner,Wawanesa Insurance,Sep 2021 – Present,2 mos,San Diego Metropolitan Area,University of Phoenix,Bachelor of Science,Business Management,,,Product Manager,Petco,Oct 2020 – Sep 2021,1 yr,"San Diego, California, United States",,,,,,Product Manager,Evite,May 2019 – Oct 2020,1 yr 6 mos,Greater Los Angeles Area,,,,,,Product Manager,"Online Guru, Inc.",Jan 2018 – Mar 2019,1 yr 3 mos,Greater San Diego Area,,,,,,"Site Experience Manager, ProFlowers.com & ProPlants.com",FTD Companies,Mar 2016 – Dec 2017,1 yr 10 mos,Greater San Diego Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product Manager @ Boston Scientific | MBA @ Kellogg,Product Manager,Northwestern University - Kellogg School of Management,Master of Business Administration - MBA,,,,Global Product Manager,Boston Scientific,Jan 2020 – Present,1 yr 10 mos,"Marlborough, Massachusetts",The Johns Hopkins University,Master of Science (MS),Biomedical/Medical Engineering,,,Senior Front End Innovation Leader,Becton Dickinson,Jan 2019 – Jan 2020,1 yr 1 mo,"Franklin Lakes, New Jersey",Rice University,BS,Bioengineering,,"Peer Career Advisor, Rice Biomedical Engineers Society, South Asian Society",Senior Consultant,Clinvue,Aug 2014 – Dec 2018,4 yrs 5 mos,"Baltimore, Maryland Area",,,,,,Technology Transfer Analyst Intern,Johns Hopkins Technology Transfer,Aug 2013 – May 2014,10 mos,"Baltimore, Maryland Area",,,,,,Undergraduate Research Assistant,Rice University,Sep 2010 – May 2013,2 yrs 9 mos,"Houston, Texas Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Director, Product Management at Salesforce Pardot",Product Manager,Duke University,MEM,Engineering Management,,"Master of Engineering Management Program, Master of Engineering Management Program Development Committee (Student Activities Committee), Master of Engineering Management Program Mentor","Director, Product Management",Pardot,Aug 2020 – Present,1 yr 3 mos,"Portsmouth, New Hampshire, United States",University of New Hampshire,BSME,Mechanical Engineering,,"Society of Women Engineers, Order of Omega National Honor Society, Chi Omega","Product Manager, Yahoo Business Suite",Yahoo!,Jun 2013 – Jun 2015,2 yrs 1 mo,"Atlanta, Georgia",Budapest University of Technology and Economics,,Mechanical Engineering,,ERASMUS Student Exchange Participant,"Technical Product Manager, Social Analytics, Publishing, Moderation, SRM Administration",Oracle,Jul 2011 – May 2013,1 yr 11 mos,"Atlanta, Georgia",,,,,,"Technical Product Manager, Social Analytics, Publishing, Moderation, SRM Administration","Vitrue, Inc.",Jul 2011 – Jul 2012,1 yr 1 mo,"Atlanta, Georgia",,,,,,Mechanical Engineer II,BAE Systems,Jun 2008 – Aug 2010,2 yrs 3 mos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Director, Product Strategy @ Workhuman |  Empowering the future of work through products that enhance human connections",Product Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Product Manager at De Nora Water Technologies,Product Manager,Boston University,Double B.S,Marketing and Business Management,,,Global Product Manager,De Nora Water Technologies,Nov 2020 – Present,1 yr,,Newbury College,n/a,Computer Sciences,,Deans list: 1998,Senior Global Product Manager– Continuous Electrodeionization CEDI,Evoqua Water Technologies,Jan 2020 – Oct 2020,10 mos,"Lowell, MA",,,,,,Contract Pricing Administrator.,Smith & Nephew Endoscopy,Oct 2005 – Feb 2006,5 mos,"Andover, MA",,,,,,Customer Service Representative-Sales,TRU Connector Corp,Jul 2003 – Jul 2005,2 yrs 1 mo,"Peabody,MA",,,,,,Customer Service Technician.,Pitney Bowes Management Services,May 2002 – May 2003,1 yr 1 mo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-Founder and Product Manager at Grafton Studio,Product Manager,Dublin City University,Bachelor of Commerce (B.Com.),Marketing,,"The Enterprise Society, DCU Rugby",Co-Founder and Product Manager,Grafton Studio,Jun 2014 – Present,7 yrs 5 mos,"Boston, MA",The King's Hospital School,Irish Leaving Certificate,"English, Irish, Maths, Business, Economics, French, Chemistry",,,Account Manager,Boston Interactive,Jan 2012 – Jun 2014,2 yrs 6 mos,Greater Boston Area,,,,,,Sports and Sponsorship Executive,Pembroke Communications,Jun 2010 – Jan 2012,1 yr 8 mos,"Dublin, Ireland",,,,,,Online Manager,Paralympics Ireland,Feb 2011 – Dec 2011,11 mos,"Dublin, Ireland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senior eCommerce Marketing and Product Manager Ahold Delhaize - consumer eCommerce and digital analytics.,Product Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product Lead at Boston Consulting Group (BCG),Product Manager,University of Illinois at Chicago,Master of Business Administration (MBA),"Concentration in International Business and Entrepreneurship, 3.84 GPA",,Member of MBA Association and Student Ambassador at UIC Liautaud Graduate School of Business,Product Lead,Boston Consulting Group (BCG),Jun 2021 – Present,5 mos,"Chicago, Illinois, United States",Sholokhov Moscow State University for Humanities,"5 year degree in Education/Linguistics awarded with honors, 4.0 GPA",,,,Product Manager - Nielsen Connect,Nielsen,Jun 2018 – Jan 2021,2 yrs 8 mos,,,,,,,Market Research Analyst,Technomic Inc.,Jan 2014 – Feb 2015,1 yr 2 mos,,,,,,,MBA / Concentration in International Business and Entrepreneurship,University of Illinois at Chicago,Aug 2010 – May 2012,1 yr 10 mos,,,,,,,Product Development / Project Management,Outerwall Inc./Redbox,2011 – 2012,1 yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cross-functional Team Leadership,Agile Methodologies,Product Management"
Senior Business Analyst - Compliance Focus,Business,New York University,,Computer and Information Sciences,,,Senior Business Analyst,Deutsche Bank,Jul 2019 – Oct 2020,1 yr 4 mos,Greater New York City Area,Columbia | SIPA,,Political Science,,,Senior Business Analyst,Industrial and Commercial Bank of China via Vesta Compliance Solutions,Feb 2019 – Apr 2019,3 mos,Greater New York City Area,United States Navy,,Engineroom Supervisor - Main Propulsion,,,"Business Analyst, Data Quality Testing SME",MUFG,Aug 2018 – Dec 2018,5 mos,"Jersey City, NJ",,,,,,Oracle Mantas Enterprise Case Management SME,Global Asian Bank,Apr 2018 – May 2018,2 mos,"New York, NY",,,,,,BSA and USA PATRIOT Act SME,New York Partnership,Feb 2018 – Mar 2018,2 mos,"New Paltz, NY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management Consultant with Deep Banking and Capital Markets Experience,Business,Fordham Gabelli School of Business,MBA,Finance,,,LIBOR Transition Lead  – Global Technology Team,Citi,Apr 2021 – Present,7 mos,"New York, New York",University of Scranton,BS,Business Administration,,,Management Consultant - Rates Trading Group,MUFG,Nov 2020 – Mar 2021,5 mos,"New York, NY",,,,,,LIBOR Transition Lead – Retail Banking and Consumer Lending Group,HSBC,Jul 2019 – Jul 2020,1 yr 1 mo,"New York, NY",,,,,,Transformation and Program Management Group,BNY Mellon,2018 – 2019,1 yr,"New York, NY",,,,,,Global Change Management Group,MUFG Securities,2017 – 2018,1 yr,"New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Analyst at McKinsey & Company,Business,University of Pennsylvania,Bachelor of Arts - BA,"Politics, Philosophy and Economics; Minor in HIstory",,"MUSE Consulting, Penn Debate Society, UPenn Students Federal Credit Union, Phi Chi Theta Business Fraternity, Gryphon Senior Society",Business Analyst,McKinsey & Company,Jul 2021 – Present,4 mos,San Francisco Bay Area,The Wharton School,,Minor in Legal Studies & History,,,Co-Founder and New Member Coordinator,Phi Chi Theta Business Fraternity,Oct 2018 – Present,3 yrs 1 mo,Greater Philadelphia Area,UWC South East Asia,International Baccalaureate,,,"President of UWC Debate,  Model United Nations, College Shop E-Commerce Department, Ummeed Fundraising Group, volunteer at Riding for the Disabled Singapore, Boys U19 Field Hockey Team",Associate Consultant Intern,Mastercard Data & Services,Jun 2020 – Jul 2020,2 mos,Washington D.C. Metro Area,,,,,,Assistant Director of Collections and Lending,Student Federal Credit Union at the University of Pennsylvania,Feb 2018 – Aug 2019,1 yr 7 mos,"Philadelphia, Pennsylvania",,,,,,"Management Consulting Intern, Customer & Operations",KPMG,May 2019 – Jul 2019,3 mos,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senior Information Technology Professional | IT Strategist | Program Manager,Business,Fairfield University,Bachelor’s Degree,Computer Science,,,Principal Consultant,"Kelley Consulting Services, Inc.",Oct 2017 – Present,4 yrs 1 mo,"New York, NY",,,,,,Senior Consultant,QuintilesIMS,Oct 2016 – Oct 2017,1 yr 1 mo,"Plymouth Meeting, PA",,,,,,"Head, Business Computing Systems Division",Princeton Plasma Physics Lab,2009 – Sep 2016,7 yrs,"Princeton, NJ",,,,,,Project Manager,"M&O Systems, Inc.",2008 – 2009,1 yr,"New York, NY",,,,,,Sr. Consultant,The College Board,2008,less than a year,"New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Business Analyst at Chegg Inc. | Digital advertising nerd | 2 Masters and BA/BI experience | R, Python, SQL, Tableau & Excel",Business,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Analyst at McKinsey & Company,Business,Cornell University,Bachelor of Science (B.S.),"Charles H. Dyson School of Applied Economics and Management, Class of 2019",,Cornell Consulting Group - Director of ConsultingHotel Ezra Cornell - Wines Team Member and ServerPhi Sigma Sigma Sorority - PresidentLet's Get Coffee - Spring Admit Representative/E-board MemberCornell Hedge Fund Club - Former Associate,Business Analyst,McKinsey & Company,Sep 2019 – Present,2 yrs 2 mos,Greater New York City Area,Ridge High School,,,,"Forensics (Speech and Debate Team), Ethics Club, Co-Caption and Varsity Member Gymnastics Team, Secretary Autism Acceptance Club.",Summer Business Analyst,McKinsey & Company,Jun 2018 – Aug 2018,3 mos,,,,,,,Business Development Intern,C. R. Bard,Jun 2017 – Aug 2017,3 mos,"Murray Hill, NJ",,,,,,Social Business Consulting Intern,Mayor Potencial,Mar 2016 – Dec 2016,10 mos,"El Rodeito, Honduras",,,,,,Intern,"The Earth Institute, Columbia University",Jul 2014 – Aug 2014,2 mos,"New York, New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business and data analyst,Business,Western Governors University,Master of Science - MS,Data Analytics,,,Business and data analyst,Napoleon IT,Dec 2018 – Present,2 yrs 11 mos,"NY, NY",Villanova University,Professional Certificate,Business Analysis,,Master Certificate in Business Analysis.,Business & Data Intelligence Analyst,InterPros Consulting for Innova Care Health,Jul 2018 – Oct 2018,4 mos,Remote,"The Graduate Center, City University of New York",BS,International Marketing and Computer Systems,,,Hands on Training Program,Cognizant,Mar 2018 – Jun 2018,4 mos,"Bronx, NY",,,,,,Senior Busines  Analyst,United Healthcare Medicare Solutions,Mar 2017 – Dec 2017,10 mos,New York City -  Remote Position,,,,,,Business Systems Analyst,"SE2, LLC",May 2016 – Dec 2016,8 mos,"Bridgewater, NJ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Business Analyst - McKinsey & Company 
| Incoming MBA Candidate - Deferred Admission Stanford GSB",Business,Stanford University Graduate School of Business,Incoming MBA Candidate - Deferred Admission,,,,Business Analyst,McKinsey & Company,Oct 2020 – Present,1 yr 1 mo,Greater Boston Area,Rutgers University-New Brunswick,Bachelor of Science - BS,Health/Health Care Administration/Management,,Honors College,Portfolio and Capability Management Co-Op,Johnson & Johnson,Jan 2020 – Oct 2020,10 mos,"Skillman, NJ",Fort Lee High School,"High School Diploma, International Baccalaureate",,,"Founder of Unplugged Club, Participant in Theatre and Chorus",Personal Trainer,24 Hour Fitness,Jun 2018 – Jun 2019,1 yr 1 mo,"Englewood Cliffs, NJ",,,,,,Course Creator,Productivity Despite Distractions,Dec 2017 – Jun 2018,7 mos,"New Brunswick, NJ",,,,,,Presenter,Elevate Education,May 2017 – Mar 2018,11 mos,"Hoboken, NJ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Business Development Intern at Choose New Jersey, Inc.",Business,Princeton University,Bachelor's degree,Princeton School of Public and International Affairs,,"Davis Scholar, Residential Butler College council Co-Chair of Community Building, Ultimate Disc Social Chair, International Leader for International Orientation.",Data and Business Analyst,TenMAS,Sep 2020 – Present,1 yr 2 mos,"Monterrey, Nuevo León, Mexico",The Lawrenceville School,High School Diploma,,,"Davis Scholar, Lawrentians school choir, Larries co-ed acapella group, The Contour online publication managing editor, Kennedy House Prefect, Ultimate disc, Mario Award 2017 recipient",Business Development Intern,"Choose New Jersey, Inc.",Feb 2021 – May 2021,4 mos,"Newark, New Jersey, United States",,,,,,"Founder, Co-host, Producer",Efecto Domino Podcast,Jun 2020 – Dec 2020,7 mos,,,,,,,Vice President,Princeton University Undergraduate Student Government,Feb 2020 – Sep 2020,8 mos,"Princeton, New Jersey, United States",,,,,,International Student Leader,Davis International Center at Princeton University,Feb 2019 – Sep 2020,1 yr 8 mos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Analyst at Cartier,Business,Columbia University in the City of New York,Bachelor of Arts,Economics,,"Kappa Phi Lambda, Multicultural Greek Council",Business Analyst,Cartier,Aug 2021 – Present,3 mos,New York City Metropolitan Area,Noble and Greenough School,High School Diploma,,,"Yearbook, Asian 2 Asian, Asian Culture Club, Crew/Rowing",Associate Planner,Proenza Schouler,Apr 2021 – Aug 2021,5 mos,New York City Metropolitan Area,,,,,,Assistant Merchandiser - Womenswear,Burberry,Oct 2020 – Apr 2021,7 mos,New York City Metropolitan Area,,,,,,Associate Merchandiser - Men's & Children's Licensing,Ralph Lauren,Aug 2016 – Apr 2017,9 mos,New York City Metropolitan Area,,,,,,Merchandising & Planning Intern,Ralph Lauren,Jun 2014 – Aug 2014,3 mos,New York City Metropolitan Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software Engineer,Software Engineer,Old Dominion University,Bachelor of Science (B.S.),Computer Science,,Honors College,Site Reliability Engineer,New York City Cyber Command,Nov 2019 – Present,2 yrs,"New York, United States",,,,,,Founder,hyperdrive,Oct 2019 – Present,2 yrs 1 mo,"New York, United States",,,,,,Software Engineer,Cloudreach,Jan 2018 – Oct 2019,1 yr 10 mos,"New York, United States",,,,,,Software Engineer,Homes.com,May 2017 – Dec 2017,8 mos,"Norfolk, Virginia Area",,,,,,Recurser,Recurse Center,Nov 2016 – Feb 2017,4 mos,New York City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senior Software Engineer at Etsy,Software Engineer,State University of New York at Binghamton,Bachelor of Science (B.S.),Computer Science,,"HackBu, Club Soccer, Quimbamba Latin Dance Team",Senior Software Engineer,Etsy,Oct 2020 – Present,1 yr 1 mo,"Brooklyn, New York",West Hempstead High School,,,,"Varsity Soccer, National Honor Society, Stage Crew",Software Engineer,Bar and Club Stats,Nov 2017 – Nov 2018,1 yr 1 mo,New York,,,,,,Software Developer,Sonarcloud,Jul 2016 – Jan 2017,7 mos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Entrepreneur and software engineer,Software Engineer,Georgia Institute of Technology,Master of Science - MS,Computer Science,,,Principal Software Engineer,Tripadvisor,Mar 2021 – Present,8 mos,"New York, New York, United States",City University of New York City College,B.E.,Computer Engineering,,,Senior Software Engineer,SinglePlatform(Acquired by TripAdvisor ),2018 – Apr 2020,2 yrs,,Dewitt Clinton High School,,,,,Founder & CTO,Access Bazaar,Jan 2016 – Dec 2018,3 yrs,Greater New York City Area,,,,,,Senior Software Engineer,SEVENROOMS,Jan 2015 – Mar 2016,1 yr 3 mos,Greater New York City Area,,,,,,Software Engineer,Nomi,2013 – 2015,2 yrs,Greater New York City Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Python,JavaScript,Linux"
Software Engineer | Website Developer | Mobile Software & Application Developer | Founder of New York Software Lab,Software Engineer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Director of Engineering at GitHub,Software Engineer,Massachusetts Institute of Technology,BS,Mechanical Engineering - Energy,,"Science and Engineering Business Club, Network for Sloan Undergraduate Women, Kappa Alpha Theta, Mechanical Engineering Student Group, Next House Exec, Next House Desk Captain",Director Of Engineering - Communities,GitHub,Jul 2020 – Present,1 yr 4 mos,San Francisco Bay Area,,,,,,Director,Write/Speak/Code,Aug 2016 – Dec 2018,2 yrs 5 mos,Remote,,,,,,Senior Software Engineer,Pivotal Labs,Aug 2015 – Nov 2017,2 yrs 4 mos,San Francisco,,,,,,Software Engineer and Product Manager,Floored,May 2014 – Jun 2015,1 yr 2 mos,New York City,,,,,,Software Engineer,Rent The Runway,Jul 2013 – Apr 2014,10 mos,New York City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full Stack Software Engineer,Software Engineer,Flatiron School,Certificate,Computer Software Engineering,,,Software Engineer III,Ticketmaster,Sep 2021 – Present,2 mos,Remote,University of North Georgia,,Business Administration,,,Full Stack Software Engineer,Upstream,Jan 2021 – Jul 2021,7 mos,New York City Metropolitan Area,Brenau University,,Business Administration,,,Software Engineer,Acoer,Mar 2020 – Jan 2021,11 mos,Greater New York City Area,,,,,,Full Stack Software Engineer,Freelance Software Development,Feb 2019 – Mar 2020,1 yr 2 mos,Greater New York City Area,,,,,,IT Engineer and Executive Administrator to CSO,International Value Advisers,Dec 2017 – Apr 2018,5 mos,"New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software Engineer at Trello,Software Engineer,Fullstack Academy of Code,,,,,Software Engineer,Trello,May 2020 – Present,1 yr 6 mos,,University of Maryland College Park,Bachelor of Science (BS),"Psychology, Neuroscience",,,"Software Engineer, Technical Lead",Cedrus Digital,Jan 2018 – May 2020,2 yrs 5 mos,"New York, New York",,,,,,"Co-Founder, WordPress Developer",Castillo Productions,Apr 2016 – Jan 2019,2 yrs 10 mos,"New York, NY",,,,,,"Production Coordinator, WordPress Developer",Non-Profit,Oct 2012 – Aug 2017,4 yrs 11 mos,"New York, NY",,,,,,Individual Support Technician,The Whole Self Center,Jun 2010 – Feb 2014,3 yrs 9 mos,"Annapolis, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Director of Communications and Marketing at New Museum of Contemporary Art,Marketing,Boston College,Bachelor’s Degree,Philosophy,,"The Heights newspaper, Phi Beta Kappa, Presidential Scholars Program",Director of Communications and Marketing,New Museum of Contemporary Art,Nov 2020 – Present,1 yr 1 mo,"New York, United States",University of Oxford,,Philosophy,,The Oxford Student Newspaper,Communications Manager,The Museum of Modern Art,Apr 2013 – Feb 2017,3 yrs 11 mos,"New York, NY",Jesuit High School of New Orleans,High School,,,,Associate Publicist,Basic Books,Jun 2007 – May 2008,1 yr,"New York, NY",,,,,,Editorial Intern,BOMB Magazine,Jan 2006 – Apr 2006,4 mos,"Brooklyn, NY",,,,,,Radio Liaison Intern,CMJ,Jun 2003 – Aug 2003,3 mos,"New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-Suite Executive | Digital Leader | Senior Advisor | Board Member,Marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vice President, Global Marketing at MAKEUP BY MARIO",Marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"President, Global Travel & Lifestyle Services at American Express",Marketing,Trinity College Dublin,M.A. & B.Sc (management and marketing),"Marketing, Finance",,"Marketing Society, Drama and Arts Society, Active in Student Politics","President, Global Travel & Lifestyle Services",American Express,Feb 2018 – Present,3 yrs 10 mos,"New York, NY",,,,,,Vice President and General Manager,American Express,1999 – 2001,2 yrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Associate Director of Marketing Strategy at The Michael J. Fox Foundation for Parkinson's Research,Marketing,Marist College,Master's degree,Integrated Marketing and Communications,,,Associate Director of Marketing Strategy,The Michael J. Fox Foundation for Parkinson's Research,Aug 2021 – Present,4 mos,United States,University of Scranton,Bachelor's degree,Health/Health Care Administration/Management,,"Treasurer of Wishmakers on Campus, Intramural Volleyball, Intramural Lacrosse, Health Administration",Marketing and Communications Manager,Ronald McDonald House New York,Feb 2018 – Sep 2021,3 yrs 8 mos,"New York, New York",King's College London,Bachelor's degree,"Humanities/Humanistic Studies, International Business",,Baking Society and Business Club,Marketing Coordinator,Sotheby's International Realty Affiliates LLC,Nov 2017 – Feb 2018,4 mos,"New York, New York",,,,,,Marketing Coordinator,St. Luke's Cornwall Hospital,Jun 2016 – Nov 2017,1 yr 6 mos,"Newburgh, NY",,,,,,Resource Development Intern,"Maternal And Family Health Services, Inc.",Feb 2016 – May 2016,4 mos,"Wilkes-Barre, PA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Profit and Corporate Marketing and Media Strategies | Develop and Communicate Creative Brand Experiences,Marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Growth Marketing Strategy & Execution for Education companies, EdTech start-ups and Nonprofits",Marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
